# Door & Key
d 54 270 level0
k 198 54

# Hero
h 54 54

# Platforms
w 18 18
w 18 36
w 18 54
w 18 72
w 18 90
w 18 108
w 18 126
w 18 144
w 18 162
w 18 180
w 18 198
w 18 216
w 18 234
w 18 252
w 18 270
w 18 288
w 36 288
w 54 288
w 72 288
w 90 288
w 378 288
w 378 18
w 378 36
w 378 54
w 378 72
w 378 90
w 378 108
w 378 126
w 378 144
w 378 162
w 378 180
w 378 198
w 378 216
w 378 234
w 378 252
w 378 270
w 36 18
w 54 18
w 72 18
w 90 18
w 108 18
w 126 18
w 144 18
w 162 18
w 180 18
w 198 18
w 216 18
w 234 18
w 252 18
w 270 18
w 288 18
w 306 18
w 324 18
w 342 18
w 360 18
w 36 108
w 54 108
w 72 108
w 270 270
w 216 234
w 72 216
w 162 180
w 162 198
w 162 216
w 162 234
w 162 288
w 324 180
w 342 180
w 360 180
w 162 162
w 216 162
w 234 162
w 216 90
w 234 90
w 198 90
w 252 90
w 162 90
w 162 72
w 162 54
w 162 36
w 252 162
w 162 108
w 270 90
w 342 108
w 198 72
